ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,is_finish
1656143617488114592,1656143617501195717,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,13081125,0,0,0,0
1656143617513709908,1656143617526050647,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,12340739,0,0,0,0
1656143617537498447,1656143617549913553,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,12415106,0,0,0,0
1656143617553772229,1656143617566168143,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,12395914,0,0,0,0
1656143617608794401,1656143617621246744,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,12452343,0,0,0,0
1656143617610818760,1656143617633606707,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,22787947,0,0,0,0
1656143617733637368,1656143617761179259,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,27541891,1656143617747184728,0,0,1
1656143617747186286,1656143617761377704,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,14191418,0,0,0,0
1656143617799273116,1656143617799321221,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,48105,0,0,0,0
1656143617806315362,1656143617806353499,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,38137,0,0,0,0
1656143617880792466,1656143617903787018,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,22994552,1656143617883428327,0,0,1
1656143617883429624,1656143617903905619,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,20475995,0,0,0,0
1656143617931780603,1656143617931826749,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,46146,0,0,0,0
1656143617936856677,1656143617936913818,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,57141,0,0,0,0
1656143617993854807,1656143617993900066,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,45259,0,0,0,0
1656143617996543597,1656143617996580930,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,37333,0,0,0,0
1656143618056215565,1656143618086418245,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,30202680,1656143618067347664,0,0,1
1656143618067349456,1656143618086584136,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,19234680,0,0,0,0
1656143618119490201,1656143618119531000,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,40799,0,0,0,0
1656143618130570901,1656143618130612685,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,41784,0,0,0,0
1656143618206635475,1656143618206690058,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,54583,0,0,0,0
1656143618216303184,1656143618245546375,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,29243191,1656143618216301390,0,0,1
1656143618277302539,1656143618277352073,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,49534,0,0,0,0
1656143618282280330,1656143618282317796,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,37466,0,0,0,0
1656143618346151769,1656143618375623269,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,29471500,1656143618349587127,0,0,1
1656143618349588474,1656143618375904022,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,26315548,0,0,0,0
1656143618426804836,1656143618426850000,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,45164,0,0,0,0
1656143618429295224,1656143618429340538,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,45314,0,0,0,0
1656143618499359655,1656143618534838028,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,35478373,1656143618513193306,0,0,1
1656143618513194418,1656143618535009268,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,21814850,0,0,0,0
1656143618575223365,1656143618575309323,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,85958,0,0,0,0
1656143618582580454,1656143618582618477,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,38023,0,0,0,0
1656143618651570761,1656143618681815768,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,30245007,1656143618659685175,0,0,1
1656143618659686773,1656143618682280474,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,22593701,0,0,0,0
1656143618747211462,1656143618747271581,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,60119,0,0,0,0
1656143618749768333,1656143618749822761,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,54428,0,0,0,0
1656143618827202060,1656143618863511665,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,36309605,1656143618840033656,0,0,1
1656143618840035844,1656143618863664230,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,23628386,0,0,0,0
1656143618904191313,1656143618904234705,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,43392,0,0,0,0
1656143618915484575,1656143618915553662,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,69087,0,0,0,0
1656143618981962777,1656143619018200197,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,36237420,1656143618998096849,0,0,1
1656143618998100331,1656143619018503570,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,20403239,0,0,0,0
1656143619101967359,1656143619102004152,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,36793,0,0,0,0
1656143619121644973,1656143619121732222,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,87249,0,0,0,0
1656143619191951639,1656143619219900938,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,27949299,1656143619194673040,0,0,1
1656143619194674985,1656143619220046062,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,25371077,0,0,0,0
1656143619267934115,1656143619267969223,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,35108,0,0,0,0
1656143619270165710,1656143619270204730,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,39020,0,0,0,0
1656143619360576301,1656143619387856425,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,27280124,1656143619368260929,0,0,1
1656143619368262100,1656143619388006805,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,19744705,0,0,0,0
1656143619461915018,1656143619461967366,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,52348,0,0,0,0
1656143619469784813,1656143619469824141,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,39328,0,0,0,0
1656143619540213050,1656143619575959615,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,35746565,1656143619543819117,0,0,1
1656143619543821648,1656143619576098273,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,32276625,0,0,0,0
1656143619629950865,1656143619629987466,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,36601,0,0,0,0
1656143619634178586,1656143619634217799,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,39213,0,0,0,0
1656143619747241871,1656143619776028706,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,28786835,1656143619750280073,0,0,1
1656143619750281417,1656143619776202114,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,25920697,0,0,0,0
1656143619815581271,1656143619815617240,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,35969,0,0,0,0
1656143619827684779,1656143619827753497,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,68718,0,0,0,0
1656143619894858136,1656143619923695674,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,28837538,1656143619904763070,0,0,1
1656143619904765226,1656143619923880700,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,19115474,0,0,0,0
