ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,is_finish
1656143617671454460,1656143617673201119,Timing,PlanningComponent::Proc,1746659,1656143617610817166,1656143617638050082,1656143617562836917,1
1656143617799524261,1656143617915125565,Timing,PlanningComponent::Proc,115601304,1656143617880790727,1656143617765521794,1656143617697862111,1
1656143617915661146,1656143617953957095,Timing,PlanningComponent::Proc,38295949,1656143617880790727,1656143617841892589,1656143617826855454,1
1656143617995165349,1656143618052741223,Timing,PlanningComponent::Proc,57575874,1656143617939633235,1656143617957136607,1656143617948990614,1
1656143618053150009,1656143618104633334,Timing,PlanningComponent::Proc,51483325,1656143618056213823,1656143618023654521,1656143617948990614,1
1656143618191255376,1656143618248795962,Timing,PlanningComponent::Proc,57540586,1656143618216301390,1656143618175459276,1656143618088361017,1
1656143618267724492,1656143618328742329,Timing,PlanningComponent::Proc,61017837,1656143618216301390,1656143618245371869,1656143618236516257,1
1656143618410367942,1656143618464166614,Timing,PlanningComponent::Proc,53798672,1656143618349823147,1656143618390883735,1656143618382745133,1
1656143618489698603,1656143618542281442,Timing,PlanningComponent::Proc,52582839,1656143618499358165,1656143618471593007,1656143618462852225,1
1656143618641562861,1656143618698118170,Timing,PlanningComponent::Proc,56555309,1656143618651568336,1656143618624086010,1656143618618686878,1
1656143618734872982,1656143618786507414,Timing,PlanningComponent::Proc,51634432,1656143618659882908,1656143618717555696,1656143618618686878,1
1656143618851175314,1656143618896587631,Timing,PlanningComponent::Proc,45412317,1656143618827200298,1656143618796217818,1656143618788889075,1
1656143620688697785,1656143620749267453,Timing,PlanningComponent::Proc,60569668,1656143620661338763,1656143618949417069,1656143618870813670,1
1656143620754154120,1656143620796291995,Timing,PlanningComponent::Proc,42137875,1656143620672256862,1656143620712473762,1656143620703198986,1
1656143620845176002,1656143620903546021,Timing,PlanningComponent::Proc,58370019,1656143620857060715,1656143620819810826,1656143620811729490,1
1656143620931372817,1656143620984757568,Timing,PlanningComponent::Proc,53384751,1656143620857087121,1656143620914989825,1656143620905629973,1
1656143621046379986,1656143621097922919,Timing,PlanningComponent::Proc,51542933,1656143621056611899,1656143621028138101,1656143621019010524,1
1656143621132317696,1656143621178592178,Timing,PlanningComponent::Proc,46274482,1656143621065641484,1656143621115067766,1656143621105622912,1
1656143621222830217,1656143621276291353,Timing,PlanningComponent::Proc,53461136,1656143621243453087,1656143621206607319,1656143621200654695,1
1656143621339562868,1656143621389414968,Timing,PlanningComponent::Proc,49852100,1656143621245660924,1656143621322436598,1656143621313218017,1
1656143621434105250,1656143621488657028,Timing,PlanningComponent::Proc,54551778,1656143621449526441,1656143621417176823,1656143621407698539,1
1656143621624415080,1656143621669691803,Timing,PlanningComponent::Proc,45276723,1656143621627355422,1656143621597647130,1656143621582594416,1
1656143621701951202,1656143621746747829,Timing,PlanningComponent::Proc,44796627,1656143621629596239,1656143621679487691,1656143621670798951,1
1656143621794962619,1656143621845400824,Timing,PlanningComponent::Proc,50438205,1656143621793764161,1656143621769791863,1656143621762262551,1
1656143621891614204,1656143621921149039,Timing,PlanningComponent::Proc,29534835,1656143621802009929,1656143621854924595,1656143621838547513,1
1656143621958054376,1656143622003846130,Timing,PlanningComponent::Proc,45791754,1656143621943739999,1656143621918979437,1656143621912669761,1
1656143622039340695,1656143622087768259,Timing,PlanningComponent::Proc,48427564,1656143621949180584,1656143622015524905,1656143622005807550,1
1656143622110960807,1656143622161941256,Timing,PlanningComponent::Proc,50980449,1656143622114896371,1656143622087663878,1656143622078369044,1
1656143622257358380,1656143622312069027,Timing,PlanningComponent::Proc,54710647,1656143622262321376,1656143622237227405,1656143622153357849,1
1656143622377562567,1656143622436460759,Timing,PlanningComponent::Proc,58898192,1656143622398087737,1656143622354112653,1656143622344139761,1
1656143622456050517,1656143622503295699,Timing,PlanningComponent::Proc,47245182,1656143622398087737,1656143622437376329,1656143622421719677,1
1656143622523682399,1656143622571088685,Timing,PlanningComponent::Proc,47406286,1656143622528289985,1656143622498497540,1656143622493622662,1
1656143622588403718,1656143622644825317,Timing,PlanningComponent::Proc,56421599,1656143622530042871,1656143622561383179,1656143622493622662,1
1656143622688359833,1656143622742283020,Timing,PlanningComponent::Proc,53923187,1656143622690536762,1656143622662862012,1656143622646447330,1
1656143622844677630,1656143622897618538,Timing,PlanningComponent::Proc,52940908,1656143622852710003,1656143622827671192,1656143622818554980,1
1656143622918317851,1656143622979282329,Timing,PlanningComponent::Proc,60964478,1656143622860960140,1656143622897632662,1656143622891064622,1
1656143622992274797,1656143623042466373,Timing,PlanningComponent::Proc,50191576,1656143623003134551,1656143622975580056,1656143622891064622,1
1656143623108507349,1656143623157701899,Timing,PlanningComponent::Proc,49194550,1656143623009322879,1656143623090554913,1656143623081130310,1
1656143623261287748,1656143623305924335,Timing,PlanningComponent::Proc,44636587,1656143623211183737,1656143623242834222,1656143623232124421,1
1656143623346716463,1656143623402086951,Timing,PlanningComponent::Proc,55370488,1656143623348366258,1656143623323917964,1656143623310255595,1
1656143623459726755,1656143623514573155,Timing,PlanningComponent::Proc,54846400,1656143623356969291,1656143623437818259,1656143623428287285,1
1656143623546551640,1656143623593299159,Timing,PlanningComponent::Proc,46747519,1656143623538423955,1656143623514203705,1656143623504635532,1
1656143623692207382,1656143623743114974,Timing,PlanningComponent::Proc,50907592,1656143623700850440,1656143623670565803,1656143623578557326,1
1656143623807900808,1656143623851705808,Timing,PlanningComponent::Proc,43805000,1656143623702421364,1656143623785630708,1656143623778101154,1
1656143623906208853,1656143623950247148,Timing,PlanningComponent::Proc,44038295,1656143623892261586,1656143623865125559,1656143623856110548,1
1656143623991710707,1656143624035712300,Timing,PlanningComponent::Proc,44001593,1656143623899316546,1656143623951428237,1656143623936324036,1
1656143624073125154,1656143624117134110,Timing,PlanningComponent::Proc,44008956,1656143624050864586,1656143624027712131,1656143624022671723,1
1656143624159596522,1656143624231648233,Timing,PlanningComponent::Proc,72051711,1656143624059387596,1656143624127144138,1656143624119423785,1
1656143624235790662,1656143624288678546,Timing,PlanningComponent::Proc,52887884,1656143624236683287,1656143624209521722,1656143624194093821,1
1656143624425937586,1656143624470054108,Timing,PlanningComponent::Proc,44116522,1656143624419248811,1656143624397055338,1656143624387498132,1
1656143624502074745,1656143624548042577,Timing,PlanningComponent::Proc,45967832,1656143624426472948,1656143624477596229,1656143624468226151,1
1656143624583723076,1656143624629838741,Timing,PlanningComponent::Proc,46115665,1656143624582542392,1656143624558733693,1656143624542670706,1
1656143624706163450,1656143624754952198,Timing,PlanningComponent::Proc,48788748,1656143624590374880,1656143624678950506,1656143624669920590,1
1656143624803975205,1656143624860449444,Timing,PlanningComponent::Proc,56474239,1656143624789847842,1656143624761920205,1656143624752228486,1
1656143624905611303,1656143624950712258,Timing,PlanningComponent::Proc,45100955,1656143624797338056,1656143624863922692,1656143624850795165,1
1656143624971699613,1656143625011679889,Timing,PlanningComponent::Proc,39980276,1656143624956445809,1656143624930201783,1656143624922284694,1
1656143625064572376,1656143625116535107,Timing,PlanningComponent::Proc,51962731,1656143624961712190,1656143625038146658,1656143625027420191,1
1656143625249065222,1656143625291317121,Timing,PlanningComponent::Proc,42251899,1656143625150740054,1656143625226928082,1656143625211809001,1
