ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,is_finish
1656143617442410791,1656143617454769786,Timing,RadarDetectionComponent::Proc,12358995,0,0,1656143617442409209,1
1656143617454810671,1656143617454842142,Timing,FusionComponent::Proc,31471,0,0,0,0
1656143617453945359,1656143617466382354,Timing,DetectionComponent::Proc,12436995,0,0,0,0
1656143617480368772,1656143617492769335,Timing,FusionCameraDetectionComponent::OnReceiveImage,12400563,0,0,0,0
1656143617495649793,1656143617508120052,Timing,DetectionComponent::Proc,12470259,0,0,0,0
1656143617503627924,1656143617564221315,Timing,FusionCameraDetectionComponent::OnReceiveImage,60593391,1656143617553576046,0,0,1
1656143617564260365,1656143617564292875,Timing,FusionComponent::Proc,32510,0,0,0,0
1656143617562838326,1656143617575629396,Timing,RadarDetectionComponent::Proc,12791070,0,0,1656143617562836917,1
1656143617575687411,1656143617575727812,Timing,FusionComponent::Proc,40401,0,0,0,0
1656143617553577529,1656143617604778372,Timing,FusionCameraDetectionComponent::OnReceiveImage,51200843,1656143617564266479,0,0,1
1656143617604829619,1656143617604881094,Timing,FusionComponent::Proc,51475,0,0,0,0
1656143617564267161,1656143617644820252,Timing,FusionCameraDetectionComponent::OnReceiveImage,80553091,1656143617610817166,0,0,1
1656143617644867598,1656143617644895836,Timing,FusionComponent::Proc,28238,0,0,0,0
1656143617638050898,1656143617670019705,Timing,DetectionComponent::Proc,31968807,0,1656143617638050082,0,1
1656143617670066244,1656143617670163599,Timing,RecognitionComponent::Proc,97355,0,1656143617638050082,0,1
1656143617670173253,1656143617670513670,Timing,FusionComponent::Proc,340417,1656143617610817166,1656143617638050082,1656143617562836917,1
1656143617610818542,1656143617691392403,Timing,FusionCameraDetectionComponent::OnReceiveImage,80573861,1656143617644872312,0,0,1
1656143617691433957,1656143617691460634,Timing,FusionComponent::Proc,26677,0,0,0,0
1656143617697863069,1656143617710430568,Timing,RadarDetectionComponent::Proc,12567499,0,0,1656143617697862111,1
1656143617710470396,1656143617710497742,Timing,FusionComponent::Proc,27346,0,0,0,0
1656143617644873437,1656143617729654316,Timing,FusionCameraDetectionComponent::OnReceiveImage,84780879,1656143617644872312,0,0,1
1656143617729710778,1656143617729755596,Timing,FusionComponent::Proc,44818,0,0,0,0
1656143617733707365,1656143617770171679,Timing,FusionCameraDetectionComponent::OnReceiveImage,36464314,1656143617747185010,0,0,1
1656143617770217312,1656143617770239642,Timing,FusionComponent::Proc,22330,0,0,0,0
1656143617765523152,1656143617794304094,Timing,DetectionComponent::Proc,28780942,0,1656143617765521794,0,1
1656143617794406551,1656143617794623941,Timing,RecognitionComponent::Proc,217390,0,1656143617765521794,0,1
1656143617794634776,1656143617795454512,Timing,FusionComponent::Proc,819736,1656143617747185010,1656143617765521794,1656143617697862111,1
1656143617747186241,1656143617800578684,Timing,FusionCameraDetectionComponent::OnReceiveImage,53392443,1656143617799270641,0,0,1
1656143617800635581,1656143617800662849,Timing,FusionComponent::Proc,27268,0,0,0,0
1656143617826856765,1656143617827122860,Timing,RadarDetectionComponent::Proc,266095,0,0,1656143617826855454,1
1656143617827165019,1656143617827192458,Timing,FusionComponent::Proc,27439,0,0,0,0
1656143617799273569,1656143617831098284,Timing,FusionCameraDetectionComponent::OnReceiveImage,31824715,1656143617802404695,0,0,1
1656143617831140970,1656143617831173297,Timing,FusionComponent::Proc,32327,0,0,0,0
1656143617802406172,1656143617854601990,Timing,FusionCameraDetectionComponent::OnReceiveImage,52195818,1656143617802404695,0,0,1
1656143617854649129,1656143617854671190,Timing,FusionComponent::Proc,22061,0,0,0,0
1656143617841893695,1656143617870918439,Timing,DetectionComponent::Proc,29024744,0,1656143617841892589,0,1
1656143617870981731,1656143617871102772,Timing,RecognitionComponent::Proc,121041,0,1656143617841892589,0,1
