ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,is_finish
1656143617487188633,1656143617499682806,Timing,LaneDetectionComponent::OnReceiveImage,12494173,0,0,0,0
1656143617513051621,1656143617533595117,Timing,LaneDetectionComponent::OnReceiveImage,20543496,1656143617513049936,0,0,1
1656143617537500812,1656143617551383639,Timing,LaneDetectionComponent::OnReceiveImage,13882827,1656143617537499294,0,0,1
1656143617553653831,1656143617588716986,Timing,LaneDetectionComponent::OnReceiveImage,35063155,1656143617553652452,0,0,1
1656143617608840123,1656143617621917789,Timing,LaneDetectionComponent::OnReceiveImage,13077666,1656143617610827742,0,0,1
1656143617610829161,1656143617652475257,Timing,LaneDetectionComponent::OnReceiveImage,41646096,1656143617610827742,0,0,1
1656143617733732785,1656143617759427813,Timing,LaneDetectionComponent::OnReceiveImage,25695028,1656143617747188656,0,0,1
1656143617747189824,1656143617760233272,Timing,LaneDetectionComponent::OnReceiveImage,13043448,1656143617747188656,0,0,1
1656143617799273695,1656143617819297507,Timing,LaneDetectionComponent::OnReceiveImage,20023812,1656143617802437367,0,0,1
1656143617802438576,1656143617820142602,Timing,LaneDetectionComponent::OnReceiveImage,17704026,1656143617802437367,0,0,1
1656143617880766566,1656143617901553312,Timing,LaneDetectionComponent::OnReceiveImage,20786746,1656143617883414474,0,0,1
1656143617883416307,1656143617902403223,Timing,LaneDetectionComponent::OnReceiveImage,18986916,1656143617883414474,0,0,1
1656143617931765346,1656143617932900880,Timing,LaneDetectionComponent::OnReceiveImage,1135534,1656143617931762225,0,0,1
1656143617936897079,1656143617960802507,Timing,LaneDetectionComponent::OnReceiveImage,23905428,1656143617936894519,0,0,1
1656143617993887356,1656143618008306771,Timing,LaneDetectionComponent::OnReceiveImage,14419415,1656143617996542107,0,0,1
1656143617996543660,1656143618009086274,Timing,LaneDetectionComponent::OnReceiveImage,12542614,1656143617996542107,0,0,1
1656143618056221677,1656143618077421045,Timing,LaneDetectionComponent::OnReceiveImage,21199368,1656143618067264791,0,0,1
1656143618067266931,1656143618078564353,Timing,LaneDetectionComponent::OnReceiveImage,11297422,1656143618067264791,0,0,1
1656143618119557674,1656143618140885096,Timing,LaneDetectionComponent::OnReceiveImage,21327422,1656143618130466536,0,0,1
1656143618130468427,1656143618141648236,Timing,LaneDetectionComponent::OnReceiveImage,11179809,1656143618130466536,0,0,1
1656143618206604806,1656143618208304467,Timing,LaneDetectionComponent::OnReceiveImage,1699661,1656143618206603195,0,0,1
1656143618216277639,1656143618240267593,Timing,LaneDetectionComponent::OnReceiveImage,23989954,1656143618216275937,0,0,1
1656143618277303684,1656143618297498173,Timing,LaneDetectionComponent::OnReceiveImage,20194489,1656143618281923422,0,0,1
1656143618281925112,1656143618298401096,Timing,LaneDetectionComponent::OnReceiveImage,16475984,1656143618281923422,0,0,1
1656143618346095736,1656143618367518513,Timing,LaneDetectionComponent::OnReceiveImage,21422777,1656143618356858075,0,0,1
1656143618356860160,1656143618368433020,Timing,LaneDetectionComponent::OnReceiveImage,11572860,1656143618356858075,0,0,1
1656143618426806825,1656143618450867268,Timing,LaneDetectionComponent::OnReceiveImage,24060443,1656143618429291542,0,0,1
1656143618429293519,1656143618451864880,Timing,LaneDetectionComponent::OnReceiveImage,22571361,1656143618429291542,0,0,1
1656143618499362992,1656143618524806066,Timing,LaneDetectionComponent::OnReceiveImage,25443074,1656143618511640088,0,0,1
1656143618511641876,1656143618525684306,Timing,LaneDetectionComponent::OnReceiveImage,14042430,1656143618511640088,0,0,1
1656143618574899737,1656143618593739608,Timing,LaneDetectionComponent::OnReceiveImage,18839871,1656143618582556633,0,0,1
1656143618582557908,1656143618594577789,Timing,LaneDetectionComponent::OnReceiveImage,12019881,1656143618582556633,0,0,1
1656143618651558320,1656143618670288981,Timing,LaneDetectionComponent::OnReceiveImage,18730661,1656143618659846761,0,0,1
1656143618659848114,1656143618671324758,Timing,LaneDetectionComponent::OnReceiveImage,11476644,1656143618659846761,0,0,1
1656143618747213809,1656143618775622178,Timing,LaneDetectionComponent::OnReceiveImage,28408369,1656143618749772006,0,0,1
1656143618749773302,1656143618776680082,Timing,LaneDetectionComponent::OnReceiveImage,26906780,1656143618749772006,0,0,1
1656143618834688746,1656143618849305007,Timing,LaneDetectionComponent::OnReceiveImage,14616261,1656143618840038778,0,0,1
1656143618840039926,1656143618850192714,Timing,LaneDetectionComponent::OnReceiveImage,10152788,1656143618840038778,0,0,1
1656143618904273012,1656143618921112403,Timing,LaneDetectionComponent::OnReceiveImage,16839391,1656143618916082775,0,0,1
1656143618916084355,1656143618921977909,Timing,LaneDetectionComponent::OnReceiveImage,5893554,1656143618916082775,0,0,1
1656143618981949281,1656143619003422931,Timing,LaneDetectionComponent::OnReceiveImage,21473650,1656143618984460571,0,0,1
1656143618984461870,1656143619004202506,Timing,LaneDetectionComponent::OnReceiveImage,19740636,1656143618984460571,0,0,1
1656143619101926882,1656143619122681330,Timing,LaneDetectionComponent::OnReceiveImage,20754448,1656143619121355248,0,0,1
1656143619121357842,1656143619123660875,Timing,LaneDetectionComponent::OnReceiveImage,2303033,1656143619121355248,0,0,1
1656143619192216508,1656143619212849403,Timing,LaneDetectionComponent::OnReceiveImage,20632895,1656143619194755628,0,0,1
1656143619194757182,1656143619213896496,Timing,LaneDetectionComponent::OnReceiveImage,19139314,1656143619194755628,0,0,1
